 9606 nuc       20   0 2457808 386152  98456 S 343,9  2,4  14:09.31 python3
 9606 nuc       20   0 2457808 389620  98456 S 338,7  2,4  14:19.47 python3
 9606 nuc       20   0 2457808 390812  98456 S 344,2  2,4  14:29.83 python3
 9606 nuc       20   0 2457808 387248  98456 S 346,8  2,4  14:40.27 python3
 9606 nuc       20   0 2457808 397384  98456 S 356,8  2,4  14:51.01 python3
 9606 nuc       20   0 2457808 385344  98456 S 367,1  2,4  15:02.06 python3
 9606 nuc       20   0 2457808 391472  98456 S 365,0  2,4  15:13.01 python3
 9606 nuc       20   0 2457808 391060  98456 S 363,8  2,4  15:23.96 python3
 9606 nuc       20   0 2457808 385904  98456 S 367,8  2,4  15:35.03 python3
 9606 nuc       20   0 2457808 396924  98456 S 363,5  2,4  15:45.97 python3
 9606 nuc       20   0 2457808 386512  98456 S 366,8  2,4  15:57.01 python3
 9606 nuc       20   0 2457808 399860  98456 S 349,3  2,5  16:07.49 python3
 9606 nuc       20   0 2457808 386508  98456 S 357,5  2,4  16:18.25 python3
 9606 nuc       20   0 2457808 390832  98456 S 339,9  2,4  16:28.48 python3
 9606 nuc       20   0 2457808 389588  98456 S 331,9  2,4  16:38.47 python3
 9606 nuc       20   0 2457808 385956  98456 S 332,9  2,4  16:48.49 python3
 9606 nuc       20   0 2457808 390496  98456 S 337,0  2,4  16:58.60 python3
 9606 nuc       20   0 2457808 388896  98456 S 343,2  2,4  17:08.93 python3
 9606 nuc       20   0 2457808 384660  98456 S 340,2  2,4  17:19.17 python3
 9606 nuc       20   0 2457808 391640  98456 S 337,9  2,4  17:29.34 python3
 9606 nuc       20   0 2457808 386652  98456 S 339,2  2,4  17:39.55 python3
 9606 nuc       20   0 2457808 397668  98456 S 335,2  2,4  17:49.64 python3
 9606 nuc       20   0 2457808 385724  98456 S 341,2  2,4  17:59.91 python3
 9606 nuc       20   0 2457808 384992  98456 S 338,2  2,4  18:10.09 python3
 9606 nuc       20   0 2457808 393452  98456 S 338,5  2,4  18:20.28 python3
 9606 nuc       20   0 2457808 385104  98456 S 339,3  2,4  18:30.46 python3
 9606 nuc       20   0 2457808 407256  98456 S 336,5  2,5  18:40.59 python3
 9606 nuc       20   0 2457808 393208  98456 S 339,9  2,4  18:50.82 python3
 9606 nuc       20   0 2457808 387868  98456 S 338,9  2,4  19:01.02 python3
 9606 nuc       20   0 2457808 391196  98456 S 341,5  2,4  19:11.30 python3
 9606 nuc       20   0 2457808 385256  98456 S 339,5  2,4  19:21.52 python3
 9606 nuc       20   0 2457808 401560  98456 S 338,2  2,5  19:31.70 python3
 9606 nuc       20   0 2457808 387028  98456 S 340,5  2,4  19:41.95 python3
 9606 nuc       20   0 2457808 389004  98456 S 337,9  2,4  19:52.12 python3
 9606 nuc       20   0 2457808 382680  98456 S 340,7  2,3  20:02.34 python3
 9606 nuc       20   0 2457808 385740  98456 S 337,5  2,4  20:12.50 python3
 9606 nuc       20   0 2457808 396684  98456 S 339,5  2,4  20:22.72 python3
 9606 nuc       20   0 2457808 385008  98456 S 343,2  2,4  20:33.05 python3
 9606 nuc       20   0 2457808 399024  98456 S 337,9  2,4  20:43.22 python3
 9606 nuc       20   0 2457808 384820  98456 S 341,7  2,4  20:53.47 python3
 9606 nuc       20   0 2457808 389300  98456 S 337,5  2,4  21:03.63 python3
 9606 nuc       20   0 2457808 384804  98456 S 340,5  2,4  21:13.88 python3
 9606 nuc       20   0 2457808 383580  98456 S 337,9  2,4  21:24.05 python3
 9606 nuc       20   0 2457808 392704  98456 S 338,9  2,4  21:34.25 python3
 9606 nuc       20   0 2457808 386628  98456 S 340,9  2,4  21:44.51 python3
 9606 nuc       20   0 2457808 399288  98456 S 339,2  2,4  21:54.72 python3
 9606 nuc       20   0 2457808 383616  98456 S 338,5  2,4  22:04.91 python3
 9606 nuc       20   0 2457808 391608  98456 S 337,9  2,4  22:15.08 python3
 9606 nuc       20   0 2457808 392200  98456 S 341,7  2,4  22:25.33 python3
 9606 nuc       20   0 2457808 386272  98456 S 339,9  2,4  22:35.56 python3
 9606 nuc       20   0 2457808 390780  98456 S 338,2  2,4  22:45.74 python3
 9606 nuc       20   0 2457808 384384  98456 S 339,9  2,4  22:55.97 python3
 9606 nuc       20   0 2457808 397396  98456 S 337,2  2,4  23:06.12 python3
 9606 nuc       20   0 2457808 390812  98456 S 340,2  2,4  23:16.36 python3
 9606 nuc       20   0 2457808 389324  98456 S 337,2  2,4  23:26.51 python3
 9606 nuc       20   0 2457808 389444  98456 S 342,0  2,4  23:36.77 python3
 9606 nuc       20   0 2457808 384960  98456 S 339,5  2,4  23:46.99 python3
 9606 nuc       20   0 2457808 391404  98456 S 340,2  2,4  23:57.23 python3
 9606 nuc       20   0 2457808 385660  98456 S 340,2  2,4  24:07.47 python3
 9606 nuc       20   0 2457808 397484  98456 S 340,2  2,4  24:17.71 python3
 9606 nuc       20   0 2457808 385540  98456 S 339,9  2,4  24:27.94 python3
 9606 nuc       20   0 2457808 389680  98456 S 338,5  2,4  24:38.13 python3
 9606 nuc       20   0 2457808 389316  98456 S 341,7  2,4  24:48.38 python3
 9606 nuc       20   0 2457808 382552  98456 S 337,1  2,3  24:58.56 python3
 9606 nuc       20   0 2457808 388952  98456 S 340,0  2,4  25:08.76 python3
 9606 nuc       20   0 2457808 384928  98456 S 340,9  2,4  25:19.02 python3
 9606 nuc       20   0 2457808 398676  98456 S 338,2  2,4  25:29.20 python3
 9606 nuc       20   0 2457808 384804  98456 S 340,2  2,4  25:39.44 python3
 9606 nuc       20   0 2457808 391052  98456 S 336,5  2,4  25:49.57 python3
 9606 nuc       20   0 2457808 400272  98456 S 342,0  2,5  25:59.83 python3
 9606 nuc       20   0 2457808 384532  98456 S 339,2  2,4  26:10.04 python3
 9606 nuc       20   0 2457808 397436  98456 S 335,9  2,4  26:20.15 python3
 9606 nuc       20   0 2457808 385772  98456 S 338,9  2,4  26:30.35 python3
 9606 nuc       20   0 2457808 398256  98456 S 338,5  2,4  26:40.54 python3
 9606 nuc       20   0 2457808 390536  98456 S 339,3  2,4  26:50.72 python3
 9606 nuc       20   0 2457808 386056  98456 S 337,7  2,4  27:00.92 python3
 9606 nuc       20   0 2457808 391264  98456 S 340,0  2,4  27:11.12 python3
 9606 nuc       20   0 2457808 386136  98456 S 340,2  2,4  27:21.36 python3
 9606 nuc       20   0 2457808 398904  98456 S 337,5  2,4  27:31.52 python3
 9606 nuc       20   0 2457808 386728  98456 S 339,5  2,4  27:41.74 python3
 9606 nuc       20   0 2457808 384172  98456 S 337,2  2,4  27:51.89 python3
 9606 nuc       20   0 2457808 389076  98456 S 342,7  2,4  28:02.17 python3
 9606 nuc       20   0 2457808 386772  98456 S 340,2  2,4  28:12.41 python3
 9606 nuc       20   0 2457808 398640  98456 S 338,2  2,4  28:22.59 python3
 9606 nuc       20   0 2457808 384104  98456 S 336,5  2,4  28:32.72 python3
 9606 nuc       20   0 2457808 390620  98456 S 335,2  2,4  28:42.81 python3
 9606 nuc       20   0 2457808 388804  98456 S 339,5  2,4  28:53.03 python3
 9606 nuc       20   0 2457808 388328  98456 S 340,2  2,4  29:03.27 python3
 9606 nuc       20   0 2457808 394464  98456 S 340,3  2,4  29:13.48 python3
