10554 nuc       20   0 2217196 303804  84240 R  67,7  1,9   0:02.03 python3
10554 nuc       20   0 2334192 361272  97504 S 268,1  2,2   0:10.10 python3
10554 nuc       20   0 2334192 360732  97504 S 292,4  2,2   0:18.90 python3
10554 nuc       20   0 2340336 360652  97504 S 291,7  2,2   0:27.68 python3
10554 nuc       20   0 2346480 361324  97504 S 284,4  2,2   0:36.24 python3
10554 nuc       20   0 2346480 362848  97504 S 286,4  2,2   0:44.86 python3
10554 nuc       20   0 2346480 362448  97504 S 289,4  2,2   0:53.57 python3
10554 nuc       20   0 2346480 367488  97508 S 286,7  2,3   1:02.20 python3
10554 nuc       20   0 2346480 358860  97508 S 293,7  2,2   1:11.01 python3
10554 nuc       20   0 2346480 363516  97508 S 293,0  2,2   1:19.83 python3
10554 nuc       20   0 2346480 361340  97508 S 283,4  2,2   1:28.36 python3
10554 nuc       20   0 2346480 361100  97508 S 294,0  2,2   1:37.18 python3
10554 nuc       20   0 2346480 362684  97508 S 274,8  2,2   1:45.45 python3
10554 nuc       20   0 2346480 366936  97508 S 296,7  2,2   1:54.38 python3
10554 nuc       20   0 2346516 358660  98176 S 280,4  2,2   2:02.82 python3
10554 nuc       20   0 2346516 363384  98176 S 275,1  2,2   2:11.10 python3
10554 nuc       20   0 2346516 368212  98176 S 275,1  2,3   2:19.38 python3
10554 nuc       20   0 2346516 361364  98176 S 282,7  2,2   2:27.89 python3
10554 nuc       20   0 2346516 360972  98176 S 284,3  2,2   2:36.42 python3
10554 nuc       20   0 2346516 366004  98176 S 283,7  2,2   2:44.96 python3
10554 nuc       20   0 2346516 361716  98176 S 289,4  2,2   2:53.67 python3
10554 nuc       20   0 2346516 361148  98176 S 289,4  2,2   3:02.38 python3
10554 nuc       20   0 2346516 362352  98176 R 280,1  2,2   3:10.81 python3
10554 nuc       20   0 2346516 363804  98176 S 285,7  2,2   3:19.38 python3
10554 nuc       20   0 2346772 364312  98176 S 287,0  2,2   3:28.02 python3
10554 nuc       20   0 2346772 359476  98176 R 291,4  2,2   3:36.79 python3
10554 nuc       20   0 2346772 363492  98176 S 287,0  2,2   3:45.43 python3
10554 nuc       20   0 2306432 314272  99864 R 279,1  1,9   3:53.83 python3
